customer_id,customer_name,email,country,signup_date,year,month,account_age,Status
1,Customer 1,customer1@example.com,Slovenia,2/20/2022,2022,February,"3 Years, 9 Months, 21 Days",old
2,Customer 2,customer2@example.com,Austria,8/16/2022,2022,August,"3 Years, 3 Months, 25 Days",old
3,Customer 3,customer3@example.com,Austria,5/29/2021,2021,May,"4 Years, 6 Months, 12 Days",old
4,Customer 4,customer4@example.com,Austria,1/24/2020,2020,January,"5 Years, 10 Months, 17 Days",old
5,Customer 5,customer5@example.com,Germany,1/16/2024,2024,January,"1 Years, 10 Months, 25 Days",young
6,Customer 6,customer6@example.com,Serbia,10/28/2023,2023,October,"2 Years, 1 Months, 13 Days",young
7,Customer 7,customer7@example.com,Austria,6/30/2021,2021,June,"4 Years, 5 Months, 11 Days",old
8,Customer 8,customer8@example.com,Germany,11/27/2021,2021,November,"4 Years, 0 Months, 14 Days",old
9,Customer 9,customer9@example.com,Serbia,8/24/2021,2021,August,"4 Years, 3 Months, 17 Days",old
10,Customer 10,customer10@example.com,Slovenia,11/19/2020,2020,November,"5 Years, 0 Months, 22 Days",old
11,Customer 11,customer11@example.com,Slovenia,1/7/2020,2020,January,"5 Years, 11 Months, 4 Days",old
12,Customer 12,customer12@example.com,Germany,1/13/2024,2024,January,"1 Years, 10 Months, 28 Days",young
13,Customer 13,customer13@example.com,Bosnia,10/22/2022,2022,October,"3 Years, 1 Months, 19 Days",old
14,Customer 14,customer14@example.com,Croatia,11/5/2022,2022,November,"3 Years, 1 Months, 6 Days",old
15,Customer 15,customer15@example.com,Serbia,7/4/2023,2023,July,"2 Years, 5 Months, 7 Days",young
16,Customer 16,customer16@example.com,Bosnia,8/1/2023,2023,August,"2 Years, 4 Months, 10 Days",young
17,Customer 17,customer17@example.com,Austria,6/1/2023,2023,June,"2 Years, 6 Months, 10 Days",old
18,Customer 18,customer18@example.com,Croatia,11/9/2020,2020,November,"5 Years, 1 Months, 2 Days",old
19,Customer 19,customer19@example.com,Bosnia,11/26/2020,2020,November,"5 Years, 0 Months, 15 Days",old
20,Customer 20,customer20@example.com,Austria,12/22/2022,2022,December,"2 Years, 11 Months, 19 Days",old
21,Customer 21,customer21@example.com,Serbia,5/11/2023,2023,May,"2 Years, 7 Months, 0 Days",old
22,Customer 22,customer22@example.com,Bosnia,9/27/2022,2022,September,"3 Years, 2 Months, 14 Days",old
23,Customer 23,customer23@example.com,Serbia,8/17/2020,2020,August,"5 Years, 3 Months, 24 Days",old
24,Customer 24,customer24@example.com,Bosnia,9/21/2021,2021,September,"4 Years, 2 Months, 20 Days",old
25,Customer 25,customer25@example.com,Croatia,4/28/2020,2020,April,"5 Years, 7 Months, 13 Days",old
26,Customer 26,customer26@example.com,Croatia,3/7/2023,2023,March,"2 Years, 9 Months, 4 Days",old
27,Customer 27,customer27@example.com,Serbia,6/24/2020,2020,June,"5 Years, 5 Months, 17 Days",old
28,Customer 28,customer28@example.com,Germany,9/22/2022,2022,September,"3 Years, 2 Months, 19 Days",old
29,Customer 29,customer29@example.com,Serbia,12/26/2022,2022,December,"2 Years, 11 Months, 15 Days",old
30,Customer 30,customer30@example.com,Croatia,9/19/2020,2020,September,"5 Years, 2 Months, 22 Days",old
31,Customer 31,customer31@example.com,Germany,8/31/2022,2022,August,"3 Years, 3 Months, 10 Days",old
32,Customer 32,customer32@example.com,Austria,12/4/2020,2020,December,"5 Years, 0 Months, 7 Days",old
33,Customer 33,customer33@example.com,Bosnia,12/16/2022,2022,December,"2 Years, 11 Months, 25 Days",old
34,Customer 34,customer34@example.com,Austria,5/16/2022,2022,May,"3 Years, 6 Months, 25 Days",old
35,Customer 35,customer35@example.com,Croatia,1/9/2023,2023,January,"2 Years, 11 Months, 2 Days",old
36,Customer 36,customer36@example.com,Germany,11/13/2023,2023,November,"2 Years, 0 Months, 28 Days",young
37,Customer 37,customer37@example.com,Croatia,12/31/2023,2023,December,"1 Years, 11 Months, 10 Days",young
38,Customer 38,customer38@example.com,Bosnia,3/28/2022,2022,March,"3 Years, 8 Months, 13 Days",old
39,Customer 39,customer39@example.com,Germany,8/23/2023,2023,August,"2 Years, 3 Months, 18 Days",young
40,Customer 40,customer40@example.com,Bosnia,6/16/2022,2022,June,"3 Years, 5 Months, 25 Days",old
41,Customer 41,customer41@example.com,Austria,7/13/2022,2022,July,"3 Years, 4 Months, 28 Days",old
42,Customer 42,customer42@example.com,Serbia,5/22/2021,2021,May,"4 Years, 6 Months, 19 Days",old
43,Customer 43,customer43@example.com,Croatia,5/11/2020,2020,May,"5 Years, 7 Months, 0 Days",old
44,Customer 44,customer44@example.com,Bosnia,2/13/2020,2020,February,"5 Years, 9 Months, 28 Days",old
45,Customer 45,customer45@example.com,Austria,2/8/2023,2023,February,"2 Years, 10 Months, 3 Days",old
46,Customer 46,customer46@example.com,Croatia,4/20/2023,2023,April,"2 Years, 7 Months, 21 Days",old
47,Customer 47,customer47@example.com,Croatia,1/15/2020,2020,January,"5 Years, 10 Months, 26 Days",old
48,Customer 48,customer48@example.com,Serbia,12/20/2023,2023,December,"1 Years, 11 Months, 21 Days",young
49,Customer 49,customer49@example.com,Germany,4/30/2020,2020,April,"5 Years, 7 Months, 11 Days",old
50,Customer 50,customer50@example.com,Croatia,5/18/2020,2020,May,"5 Years, 6 Months, 23 Days",old
51,Customer 51,customer51@example.com,Serbia,11/7/2021,2021,November,"4 Years, 1 Months, 4 Days",old
52,Customer 52,customer52@example.com,Serbia,11/18/2022,2022,November,"3 Years, 0 Months, 23 Days",old
53,Customer 53,customer53@example.com,Croatia,7/24/2021,2021,July,"4 Years, 4 Months, 17 Days",old
54,Customer 54,customer54@example.com,Germany,9/21/2022,2022,September,"3 Years, 2 Months, 20 Days",old
55,Customer 55,customer55@example.com,Croatia,1/9/2023,2023,January,"2 Years, 11 Months, 2 Days",old
56,Customer 56,customer56@example.com,Croatia,1/21/2024,2024,January,"1 Years, 10 Months, 20 Days",young
57,Customer 57,customer57@example.com,Austria,3/26/2023,2023,March,"2 Years, 8 Months, 15 Days",old
58,Customer 58,customer58@example.com,Slovenia,5/12/2021,2021,May,"4 Years, 6 Months, 29 Days",old
59,Customer 59,customer59@example.com,Slovenia,4/13/2022,2022,April,"3 Years, 7 Months, 28 Days",old
60,Customer 60,customer60@example.com,Croatia,7/12/2020,2020,July,"5 Years, 4 Months, 29 Days",old
61,Customer 61,customer61@example.com,Serbia,9/11/2023,2023,September,"2 Years, 3 Months, 0 Days",young
62,Customer 62,customer62@example.com,Slovenia,12/26/2021,2021,December,"3 Years, 11 Months, 15 Days",old
63,Customer 63,customer63@example.com,Slovenia,4/21/2022,2022,April,"3 Years, 7 Months, 20 Days",old
64,Customer 64,customer64@example.com,Slovenia,2/2/2024,2024,February,"1 Years, 10 Months, 9 Days",young
65,Customer 65,customer65@example.com,Serbia,10/11/2023,2023,October,"2 Years, 2 Months, 0 Days",young
66,Customer 66,customer66@example.com,Germany,8/16/2023,2023,August,"2 Years, 3 Months, 25 Days",young
67,Customer 67,customer67@example.com,Serbia,5/4/2020,2020,May,"5 Years, 7 Months, 7 Days",old
68,Customer 68,customer68@example.com,Slovenia,1/31/2024,2024,January,"1 Years, 10 Months, 10 Days",young
69,Customer 69,customer69@example.com,Bosnia,8/11/2020,2020,August,"5 Years, 4 Months, 0 Days",old
70,Customer 70,customer70@example.com,Croatia,1/27/2021,2021,January,"4 Years, 10 Months, 14 Days",old
71,Customer 71,customer71@example.com,Croatia,1/3/2023,2023,January,"2 Years, 11 Months, 8 Days",old
72,Customer 72,customer72@example.com,Slovenia,10/14/2020,2020,October,"5 Years, 1 Months, 27 Days",old
73,Customer 73,customer73@example.com,Slovenia,1/10/2021,2021,January,"4 Years, 11 Months, 1 Days",old
74,Customer 74,customer74@example.com,Bosnia,8/5/2022,2022,August,"3 Years, 4 Months, 6 Days",old
75,Customer 75,customer75@example.com,Croatia,6/3/2020,2020,June,"5 Years, 6 Months, 8 Days",old
76,Customer 76,customer76@example.com,Slovenia,2/1/2023,2023,February,"2 Years, 10 Months, 10 Days",old
77,Customer 77,customer77@example.com,Serbia,4/13/2020,2020,April,"5 Years, 7 Months, 28 Days",old
78,Customer 78,customer78@example.com,Germany,1/12/2023,2023,January,"2 Years, 10 Months, 29 Days",old
79,Customer 79,customer79@example.com,Serbia,7/10/2020,2020,July,"5 Years, 5 Months, 1 Days",old
80,Customer 80,customer80@example.com,Croatia,12/6/2020,2020,December,"5 Years, 0 Months, 5 Days",old
81,Customer 81,customer81@example.com,Slovenia,9/21/2022,2022,September,"3 Years, 2 Months, 20 Days",old
82,Customer 82,customer82@example.com,Slovenia,3/13/2021,2021,March,"4 Years, 8 Months, 28 Days",old
